constellation_id,Constellation,star_id,Name,galaxy_id,Galaxy
1,Eridanus,1,Acamar,-1,
2,Eridanus,2,Achernar,-1,
3,Eridanus,66,Angetenar,-1,
4,Eridanus,86,Azha,-1,
5,Eridanus,90,Beemim,-1,
6,Eridanus,91,Beid,-1,
7,Eridanus,114,Cursa,-1,
8,Eridanus,169,Keid,-1,
9,Eridanus,249,Ran,-1,
10,Eridanus,272,Sceptrum,-1,
11,Eridanus,303,Theemin,-1,
12,Eridanus,329,Zaurak,-1,
13,Eridanus,332,Zibal,-1,
14,Cassiopeia,3,Achird,50,Maffei I
15,Cassiopeia,3,Achird,51,Maffei II
16,Cassiopeia,101,Caph,50,Maffei I
17,Cassiopeia,101,Caph,51,Maffei II
18,Cassiopeia,103,Castula,50,Maffei I
19,Cassiopeia,103,Castula,51,Maffei II
20,Cassiopeia,138,Fulu,50,Maffei I
21,Cassiopeia,138,Fulu,51,Maffei II
22,Cassiopeia,259,Ruchbah,50,Maffei I
23,Cassiopeia,259,Ruchbah,51,Maffei II
24,Cassiopeia,274,Schedar,50,Maffei I
25,Cassiopeia,274,Schedar,51,Maffei II
26,Cassiopeia,276,Segin,50,Maffei I
27,Cassiopeia,276,Segin,51,Maffei II
28,Scorpius,4,Acrab,-1,
29,Scorpius,44,Alniyat,-1,
30,Scorpius,69,Antares,-1,
31,Scorpius,122,Dschubba,-1,
32,Scorpius,134,Fang,-1,
33,Scorpius,141,Fuyue,-1,
34,Scorpius,158,Iklil,-1,
35,Scorpius,162,Jabbah,-1,
36,Scorpius,177,Larawag,-1,
37,Scorpius,178,Lesath,-1,
38,Scorpius,231,Paikauhale,-1,
39,Scorpius,237,Pipirima,-1,
40,Scorpius,270,Sargas,-1,
41,Scorpius,279,Shaula,-1,
42,Scorpius,323,Xamidimura,-1,
43,Crux,5,Acrux,-1,
44,Crux,142,Gacrux,-1,
45,Crux,145,Ginan,-1,
46,Crux,159,Imai,-1,
47,Crux,205,Mimosa,-1,
48,Cancer,6,Acubens,-1,
49,Cancer,75,Asellus Australis,-1,
50,Cancer,76,Asellus Borealis,-1,
51,Cancer,111,Copernicus,-1,
52,Cancer,194,Meleph,-1,
53,Cancer,221,Nahn,-1,
54,Cancer,236,Piautos,-1,
55,Cancer,298,Tarf,-1,
56,Cancer,300,Tegmine,-1,
57,Leo,7,Adhafera,22,Copeland Septet
58,Leo,7,Adhafera,44,Leo I
59,Leo,7,Adhafera,45,Leo II
60,Leo,7,Adhafera,46,Leo III
61,Leo,7,Adhafera,47,Leo Triplet
62,Leo,27,Algieba,22,Copeland Septet
63,Leo,27,Algieba,44,Leo I
64,Leo,27,Algieba,45,Leo II
65,Leo,27,Algieba,46,Leo III
66,Leo,27,Algieba,47,Leo Triplet
67,Leo,59,Alterf,22,Copeland Septet
68,Leo,59,Alterf,44,Leo I
69,Leo,59,Alterf,45,Leo II
70,Leo,59,Alterf,46,Leo III
71,Leo,59,Alterf,47,Leo Triplet
72,Leo,110,Chertan,22,Copeland Septet
73,Leo,110,Chertan,44,Leo I
74,Leo,110,Chertan,45,Leo II
